"age_clean","gender_clean","country_of_birth_clean","fluent_languages_clean","readable_languages_clean","target_grade","assignment_preference","trimester_or_semester_clean","university_year","enrolled_unit","weekly_study_hours","assignments_on_time","used_r_before","wam_clean","team_role_type","pay_rent_clean","living_arrangements","work_status","weekly_paid_work_hours","weekly_exercise_hours","diet_style_clean","average_daily_sleep_clean","sleep_schedule","weekly_food_spend","weekly_alcohol_clean","daily_anxiety_frequency","social_media_clean","relationship_status_clean","drivers_license_clean","sibling_count_clean","allergy_count_clean","steak_preference_clean","dominant_hand","computer_os_clean","believe_in_aliens","random_number","favourite_number","favourite_letter_clean","urinal_choice","stall_choice","weetbix_count"
20,"Male","India",2,3,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",24,"Usually","Yes",83,7,"Yes","College or student accomodation","Casual",5,3,"omnivorous",8,8,100,"0",3,"Other","No","Yes",1,0,NA,"Right","Linux","Yes",6,1,"v","C: Furthest from the entrance",NA,0
20,"Male","Australia",1,1,"Distinction","cram at the last second","Semester","Third year","DATA2002",36,"Always","No",62,9,"No","With parent(s) and/or sibling(s)","Contractor",4.5,11,"carnivore",8.5,8,50,"5-10",2,"Other","Unclear","Yes",2,2,"medium-rare","Left","MacOS","Yes",2,8,"g","C: Furthest from the entrance","A: Closest to the entrance",4
22,"Female","Australia",2,1,"Distinction","draw up a schedule and work through it in planned stages","Semester","Fourth year","DATA2002",15,"Usually","Yes",4,10,"No","With parent(s) and/or sibling(s)","Part time",10,4,"omnivorous",6,5,10,"0",5,"Instagram","Yes","Yes",1,0,"medium-rare","Right","MacOS","Yes",6,8,"a","C: Furthest from the entrance","C: Furthest from the entrance",0
19,"Male","Australia",2,1,"Distinction","cram at the last second","Semester","Second year","DATA2902",20,"Usually","Yes",72,5,"No","With parent(s) and/or sibling(s)","Casual",2,0,"omnivorous",8,8,0,"0",10,"Discord","No","Yes",1,0,"medium","Right","Windows","No",5,5,"x","C: Furthest from the entrance","C: Furthest from the entrance",0
18,"Male","Australia",1,1,"High Distinction","do them immediately","Semester","First year","DATA2902",20,"Always","Yes",93,8,"No","With parent(s) and/or sibling(s)","Casual",20,3,"omnivorous",8,9,150,"0",7,"Discord","No","Yes",1,0,"medium","Left","MacOS","No",4,7,"j","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Male","Australia",1,1,"High Distinction","do them immediately","Semester","Second year","DATA2902",50,"Always","Yes",92,10,"No","i live with my girlfriends parents (its complicated)","Self employed",6.5,0,"omnivorous",8,4,250,"5-10",1,"Youtube","Yes","Yes",0,0,"medium-rare","Right","Windows","Yes",8,4,"e","C: Furthest from the entrance","C: Furthest from the entrance",0
19,"Female","India",3,1,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",9,"Usually","Yes",71,9,"No","With parent(s) and/or sibling(s)","Part time",9,2,"omnivorous",6,4,60,"0",5,"Tiktok","No","Yes",2,1,NA,"Right","MacOS","Yes",3,5,"r","C: Furthest from the entrance","A: Closest to the entrance",1.5
20,"Female","China",2,2,"High Distinction","do them immediately","Trimester","Second year","DATA2002",35,"Always","Yes",84,9,"Yes","Share house","I don't currently work",0,0,"omnivorous",8,7,210,"0",10,"Wechat","No","Yes",0,3,NA,"Right","MacOS","Yes",4,6,"u","C: Furthest from the entrance","C: Furthest from the entrance",0
21,"Male","Pakistan",2,3,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Fourth year","DATA2002",25,"Always","Yes",60,8,"Yes","With parent(s) and/or sibling(s)","Part time",16,8,"omnivorous",7,7,70,"0",4,"Twitter","No","Yes",2,0,"medium-rare","Right","MacOS","Yes",3,7,"a",NA,"C: Furthest from the entrance",4
19,"Female","Australia",1,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",10,"Always","Yes",87,9,"No","With parent(s) and/or sibling(s)","Casual",25,5,"omnivorous",9,8,50,"5-10",1,"Tiktok","No","Yes",1,0,"medium-rare","Right","MacOS","Yes",5,7,"a","A: Closest to the entrance","B: Middle",2
23,"Male","Thailand",2,2,"High Distinction","do them immediately","Semester","Second year","DATA2002",30,"Usually","Yes",75,2,"Yes","With parent(s) and/or sibling(s)","I don't currently work",0,3,"omnivorous",6,1,120,"0",10,"Youtube","No","Yes",5,2,"medium","Right","MacOS","Yes",2,3,"b","C: Furthest from the entrance","A: Closest to the entrance",1
20,"Male","Australia",2,3,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",16,"Always","No",78,9,"No","With parent(s) and/or sibling(s)","Casual",12,6,"omnivorous",8,7,85,"0",5,"Discord","No","Yes",0,3,"medium","Right","MacOS","No",5,5,"q","C: Furthest from the entrance","C: Furthest from the entrance",3
19,"Female","Australia",2,3,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",8,"Usually","Yes",60,6,"No","With parent(s) and/or sibling(s)","Part time",10,NA,"omnivorous",6,4,20,"0",6,"Tiktok","No","Yes",2,0,"medium","Right","MacOS","Yes",7,7,"m","C: Furthest from the entrance","C: Furthest from the entrance",1
20,"Female","Indonesia",2,2,"Credit","do them immediately","Semester","Second year","DATA2002",30,"Always","Yes",78,7,"Yes","College or student accomodation","I don't currently work",0,0,"omnivorous",6,6,200,"0",8,"Youtube","No","No",1,0,"medium","Right","MacOS","No",10,10,"o","C: Furthest from the entrance","A: Closest to the entrance",0
19,"Female","India",3,3,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",20,"Always","Yes",74,9,"No","With parent(s) and/or sibling(s)","I don't currently work",0,2,"omnivorous",8.5,8,60,"0",4,"Instagram","No","No",1,0,NA,"Right","MacOS","No",3,3,"p","C: Furthest from the entrance","A: Closest to the entrance",0
19,NA,"India",5,3,"High Distinction","cram at the last second","Semester","Second year","DATA2002",5,"Always","Yes",69,5,"Yes","With partner","Self employed",10,7,"vegetarian",10,10,600,"5-10",5,"Instagram","Unclear","Yes",1,0,NA,"Right","Windows","Yes",10,1,"s","C: Furthest from the entrance","C: Furthest from the entrance",0
21,"Male",NA,3,3,"High Distinction","do them immediately","Trimester","Third year","DATA2902",35,"Always","No",83,7,"Yes","Alone","Self employed",0,15,"omnivorous",8,9,150,"<5",10,"Discord","No","No",1,0,"medium","Right","MacOS","No",9,8,"w","C: Furthest from the entrance","A: Closest to the entrance",5
20,"Male","Australia",2,2,"Distinction","do them immediately","Semester","Second year","DATA2002",10,"Usually","Yes",75,8,"No","With parent(s) and/or sibling(s)","I don't currently work",0,3,"omnivorous",8,5,200,"<5",6,"Instagram","No","Yes",1,0,"well done","Right","Windows","No",1,6,"i","C: Furthest from the entrance","A: Closest to the entrance",0
19,"Female","Australia",2,1,"Distinction","do them immediately","Semester","Second year","DATA2002",25,"Always","Yes",74,8,"No","With parent(s) and/or sibling(s)","Casual",10,3,"omnivorous",8,7,50,"0",9,"Tiktok","No","No",1,0,"medium","Right","MacOS","No",3,3,"c","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Female","China",2,2,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",10,"Always","Yes",72,2,"Yes","Share house","I don't currently work",0,2,"omnivorous",6,8,300,"0",8,"Tiktok","No","No",0,NA,"medium","Right","MacOS","No",7,7,"c","C: Furthest from the entrance","C: Furthest from the entrance",0
19,"Male","Australia",2,1,"High Distinction","do them immediately","Semester","Second year","DATA2902",36,"Always","Yes",78,9,"No","With parent(s) and/or sibling(s)","Part time",12,8,"omnivorous",8,8,150,"0",4,"Discord","No","Yes",1,1,"medium-rare","Right","Windows","Yes",5,3,"a","A: Closest to the entrance","A: Closest to the entrance",2
19,"Male","Australia",1,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",6,"Always","Yes",85,7,"No","With parent(s) and/or sibling(s)","Casual",5,10,"omnivorous",9,9,15,"0",5,"Youtube","No","Yes",2,0,"medium-well done","Left","MacOS","No",2,1,"q","C: Furthest from the entrance","B: Middle",NA
22,"Male","Australia",1,2,"Credit","draw up a schedule and work through it in planned stages","Semester","Fifth or higher year","DATA2002",2,"Always","Yes",65,6,"No","With parent(s) and/or sibling(s)","Casual",15,2,"omnivorous",7,7,100,"<5",4,"Instagram","No","No",1,0,"medium-rare","Right","Windows","Yes",3,6,"a","C: Furthest from the entrance","C: Furthest from the entrance",7
19,"Female","India",2,4,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",10,"Always","Yes",55,6,"No","With parent(s) and/or sibling(s)","I don't currently work",0,5,"omnivorous",8,8,60,"0",10,"Twitter","No","Yes",2,0,"well done","Right","Windows","No",7,7,"z","C: Furthest from the entrance","C: Furthest from the entrance",2
23,"Male","Vietnam",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",30,"Always","Yes",78,5,"Yes","Share house","I don't currently work",0,0,"omnivorous",6,3,210,"<5",2,"Instagram","Yes","No",1,0,"medium-rare","Right","MacOS","Yes",8,3,NA,"A: Closest to the entrance","B: Middle",NA
20,"Female","United States",NA,2,"Distinction","cram at the last second","Semester","Third year","DATA2902",NA,"Always","Yes",NA,9,"No","College or student accomodation","Casual",NA,7,"omnivorous",7,1,NA,"<5",9,"Tiktok","No","Yes",1,0,"medium","Left","MacOS","Yes",5,8,"q",NA,"B: Middle",NA
25,"Female","China",1,2,"Distinction","do them immediately","Trimester","Second year","DATA2002",70,"Sometimes","Yes",NA,6,"Yes","Share house","Part time",60,2,"omnivorous",7,9,280,"0",9,"Bilibili","No","Yes",0,5,"medium-well done","Right","Windows","No",1,1,"e","C: Furthest from the entrance","A: Closest to the entrance",2
20,"Female","Australia",1,2,"Credit","cram at the last second","Semester","Second year","DATA2002",7,"Always","Yes",72,9,"No","With parent(s) and/or sibling(s)","Part time",25,3,"omnivorous",5.5,1,60,"5-10",9,"Tiktok","No","Yes",1,0,"medium-rare","Right","Windows","Yes",7,3,"g","C: Furthest from the entrance","C: Furthest from the entrance",3
19,"Female","Hong Kong",2,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",6,"Usually","Yes",83,7,"No","With parent(s) and/or sibling(s)","Part time",10,1,"omnivorous",6.5,3,50,"0",7,"Tiktok","Yes","No",0,0,"medium-rare","Right","MacOS","Yes",3,9,"n","A: Closest to the entrance","A: Closest to the entrance",1
19,"Male","Australia",1,2,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",2,"Always","Yes",77,6,"No","With parent(s) and/or sibling(s)","Casual",9,7,"omnivorous",8,9,45,"0",3,"Instagram","Yes","Yes",1,0,"medium-rare","Right","Windows","Yes",9,9,"g","C: Furthest from the entrance","C: Furthest from the entrance",4
19,"Male","England",1,1,"High Distinction","cram at the last second","Semester","Second year","DATA2902",30,"Usually","Yes",80,6,"No","With parent(s) and/or sibling(s)","Casual",16,6,"omnivorous",7,2,NA,"<5",4,"Instagram","No","Yes",2,0,"medium-rare","Right","Windows","Yes",8,2,"t","C: Furthest from the entrance","C: Furthest from the entrance",4
19,"Male","Indonesia",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",25,"Always","Yes",89,8,"Yes","Sharing with one roommate","Casual",4,5,"omnivorous",6,1,400,"<5",7,"Youtube","No","Yes",1,1,"medium-well done","Right","Windows","Yes",8,8,"e","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Male","Australia",1,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",20,"Always","Yes",84,6,"No","With parent(s) and/or sibling(s)","I don't currently work",0,2,"omnivorous",8,4,0,"0",3,"Instagram","No","Yes",2,0,"well done","Right","Windows","No",4,4,"x","A: Closest to the entrance","A: Closest to the entrance",2
21,"Female","United States",2,1.5,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",10,"Usually","Yes",59,9,"Yes","College or student accomodation","Part time",25,5,"omnivorous",7,5,120,"0",5,"Instagram","No","Learner License",1,0,"medium-well done","Right","MacOS","Yes",5,5,"a","C: Furthest from the entrance","B: Middle",6
20,"Male","Australia",1,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",NA,"Always","Yes",NA,8,"Yes","College or student accomodation","Casual",NA,10,"omnivorous",8,4,NA,"5-10",7,"None","No","Yes",2,0,"medium-rare","Right","Windows","Yes",7,4,"s","A: Closest to the entrance","C: Furthest from the entrance",3
23,"Female","China",NA,3,"Credit","draw up a schedule and work through it in planned stages","Semester","Third year","DATA2002",28,"Always","Yes",60,3,"Yes","With partner","I don't currently work",0,2,"omnivorous",10,6,300,"<5",4,"Instagram","Yes","Yes",0,0,"medium-well done","Right","MacOS","Yes",6,6,"y","A: Closest to the entrance","A: Closest to the entrance",0
20,"Female","Myanmar",3,4,"Credit","cram at the last second","Semester","Second year","DATA2002",4,"Usually","Yes",61,7,"Yes","Share house","Part time",30,4,"pescatarian",5,3,300,"0",7,"Youtube","No","No",1,1,"well done","Right","Linux","Yes",4,4,"g","C: Furthest from the entrance","A: Closest to the entrance",0
19,"Female","Australia",3,3,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",18,"Always","Yes",70,2,"No","With parent(s) and/or sibling(s)","Part time",26,0,"omnivorous",8,4,50,"0",7,"Instagram","No","No",1,1,"medium-well done","Right","MacOS","No",8,8,"n","C: Furthest from the entrance","C: Furthest from the entrance",2
21,"Female","China",2,2,"Distinction","cram at the last second","Semester","Second year","DATA2002",15,"Usually","No",60,7,"Yes","College or student accomodation","I don't currently work",0,0,"omnivorous",8,4,150,"0",7,"Instagram","No","No",1,0,"medium","Right","MacOS","Yes",6,6,"r","C: Furthest from the entrance","C: Furthest from the entrance",2
21,"Female","Australia",1,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Third year","DATA2902",10,"Usually","Yes",84,10,"No","With parent(s) and/or sibling(s)","Casual",0,7,"omnivorous",8,7,0,"0",10,"Other","No","Yes",2,0,"medium-rare","Left","MacOS","Yes",6,2,"a","B: Middle","B: Middle",0
20,"Female","Australia",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",50,"Always","Yes",NA,9,"No","With parent(s) and/or sibling(s)","Casual",4,4,"omnivorous",7,5,40,"<5",10,"Instagram","No","Yes",0,2,"medium-well done","Right","MacOS","Yes",5,4,"c","C: Furthest from the entrance","A: Closest to the entrance",1
19,"Male","Australia",1,1,"Distinction","cram at the last second","Semester","Second year","DATA2002",4,"Usually","Yes",66,6,"No","With parent(s) and/or sibling(s)","Part time",12,5,"omnivorous",9.5,4,10,"0",5,"Other","Yes","Yes",3,0,"medium","Left","Windows","No",1,2,"t","C: Furthest from the entrance","C: Furthest from the entrance",5
18,"Male","Indonesia",2,2,"High Distinction","do them immediately","Semester","Second year","DATA2902",80,"Always","Yes",87,10,"Yes","College or student accomodation","I don't currently work",0,7,"omnivorous",8,8,60,"0",5,"Twitter","No","No",1,7,"medium","Right","Windows","Yes",1,1,"w","A: Closest to the entrance","A: Closest to the entrance",NA
18,"Female","Indonesia",2,2,"High Distinction","cram at the last second","Semester","Second year","DATA2002",3,"Always","Yes",76,8,"Yes","Share house","I don't currently work",0,0,"omnivorous",8,6,210,"<5",6,"Tiktok","Yes","Yes",2,0,"medium-rare","Right","MacOS","Yes",2,9,"n","C: Furthest from the entrance","B: Middle",0
21,"Female","Australia",1,2,"Distinction","draw up a schedule and work through it in planned stages","Semester","Fourth year","DATA2002",3,"Always","Yes",75,9,"No","With parent(s) and/or sibling(s)","Part time",24,3,"omnivorous",9,6,60,"0",6,"Instagram","Yes","Yes",1,0,"medium-rare","Right","Windows","Yes",8,8,"f","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Male","Australia",2,2,"High Distinction","do them immediately","Semester","Second year","DATA2002",15,"Always","Yes",85,7,"No","With parent(s) and/or sibling(s)","Casual",10,1,"omnivorous",8,7,75,"0",5,"Other","No","Yes",2,0,"well done","Right","MacOS","Yes",1,1,"f",NA,"C: Furthest from the entrance",6
23,"Male","China",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",20,"Always","Yes",80,5,"Yes","Alone","I don't currently work",0,3,"omnivorous",7,4,30,"0",9,"Wechat","No","No",0,1,NA,"Right","Windows","No",9,9,"x","C: Furthest from the entrance","C: Furthest from the entrance",NA
19,"Female","Australia",1,5,"High Distinction","do them immediately","Semester","Second year","DATA2902",5,"Always","Yes",84,7,"No","With parent(s) and/or sibling(s)","Self employed",8,3,"omnivorous",7,7,50,"<5",4,"Instagram","No","Yes",1,0,"medium-rare","Right","MacOS","Yes",3,8,"m","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Male","Australia",1,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",25,"Always","Yes",75,9,"No","With parent(s) and/or sibling(s)","Casual",7,5,"vegetarian",8,7,15,"0",4,"Instagram","No","Yes",1,1,NA,"Right","MacOS","Yes",8,6,"e","A: Closest to the entrance","A: Closest to the entrance",0
22,"Male","Singapore",2,3,"Distinction","cram at the last second","Semester","Second year","DATA2902",7,"Always","Yes",70,8,"Yes","Share house","I don't currently work",0,5,"omnivorous",7,3,200,"<5",3,"Instagram","Yes","Yes",2,2,"medium-rare","Right","Windows","No",7,7,"r","C: Furthest from the entrance","C: Furthest from the entrance",0
21,"Male","Australia",1,1,"High Distinction","do them immediately","Semester","Fourth year","DATA2002",4,"Always","Yes",73,8,"No","With parent(s) and/or sibling(s)","I don't currently work",0,9,"omnivorous",8.5,8,20,"0",5,"Tiktok","No","Yes",2,1,"medium-rare","Right","Windows","Yes",8,8,"n","C: Furthest from the entrance","C: Furthest from the entrance",2
18,"Female","Australia",1,2,"High Distinction","cram at the last second","Semester","First year","DATA2902",20,"Usually","Yes",84,7,"No","With parent(s) and/or sibling(s)","Part time",20,18,"omnivorous",7.5,8,40,"<5",3,"Instagram","No","Yes",1,NA,"medium","Right","MacOS","Yes",4,8,"m",NA,"B: Middle",NA
19,"Female","Indonesia",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",30,"Always","Yes",88,8,"Yes","With partner","I don't currently work",0,5,"omnivorous",8,8,20,"0",6,"Tiktok","Yes","No",2,3,NA,"Right","MacOS","Yes",6,6,"j","C: Furthest from the entrance","B: Middle",0
22,"Female","China",2,2,"Credit","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",15,"Always","Yes",60,3,"Yes","Alone","I don't currently work",30,2,"omnivorous",7,5,400,"0",8,"Tiktok","No","No",0,NA,"medium-well done","Right","MacOS","No",8,8,"v","B: Middle","B: Middle",0
22,"Male","Singapore",2,1,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",24,"Always","Yes",50,9,"Yes","Share house","I don't currently work",0,1,"omnivorous",7,7,60,"<5",5,"Instagram","No","Yes",0,NA,"medium-rare","Right","MacOS","No",4,4,"x","C: Furthest from the entrance","C: Furthest from the entrance",0
22,"Male","Australia",1,1,"High Distinction","cram at the last second","Semester","Second year","DATA2002",12,"Usually","Yes",72,5,"Partly","With parent(s) and/or sibling(s)","I don't currently work",0,1,"omnivorous",6,3,20,"0",7,"Youtube","No","No",1,0,"medium","Right","Linux","Yes",1,7,"w","C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Female","Bangladesh",2,2,"High Distinction","cram at the last second","Semester","Second year","DATA2002",5,"Sometimes","Yes",0,6,"No","With parent(s) and/or sibling(s)","Casual",16,3,"halal",8,9,20,"0",10,"Instagram","No","Yes",1,2,"medium-well done","Left","Windows","Yes",7,7,"m","C: Furthest from the entrance","C: Furthest from the entrance",0
19,"Male","China",3,3,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",20,"Always","Yes",60,6,"Yes","Alone","I don't currently work",40,9,"omnivorous",8.5,10,200,"<5",1,"Bilibili","No",NA,1,0,"medium","Right","MacOS","Yes",3,3,"x","A: Closest to the entrance","C: Furthest from the entrance",0
19,"Male","Vietnam",2,2,"High Distinction","do them immediately","Semester","Second year","DATA2002",25,"Always","Yes",80,2,"Yes","With parent(s) and/or sibling(s)","I don't currently work",0,5,"omnivorous",8,7,0,"0",3,"Youtube","No","Yes",1,0,"medium-rare","Right","MacOS","No",10,1,"t","A: Closest to the entrance","A: Closest to the entrance",0
22,"Male","Australia",1,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Third year","DATA2002",10,"Usually","No",75,9,"No","With parent(s) and/or sibling(s)","Casual",25,10,"omnivorous",7,7,200,"<5",3,"Instagram","Yes","Yes",2,0,"medium-rare","Right","MacOS","Yes",4,2,"r","C: Furthest from the entrance","C: Furthest from the entrance",5
20,"Female","Australia",2,2,"Distinction","cram at the last second","Semester","Second year","DATA2002",NA,"Usually","Yes",67,5,"No","With parent(s) and/or sibling(s)","Casual",1.5,1,"omnivorous",8,8,50,"0",8,"Discord","Yes","Yes",1,0,"medium-rare","Right","Windows","Yes",7,2,"l","C: Furthest from the entrance","C: Furthest from the entrance",0
20,"Male","Australia",1,2,"High Distinction","cram at the last second","Semester","Third year","DATA2002",1,"Always","Yes",81,7,"No","With parent(s) and/or sibling(s)","Casual",1,20,"omnivorous",8,8,20,"<5",6,"Instagram","No","Yes",1,0,"medium-rare","Right","MacOS","No",9,7,NA,"C: Furthest from the entrance","C: Furthest from the entrance",2
19,"Male","India",2,NA,"High Distinction","do them immediately","Semester","Second year","DATA2002",50,"Always","Yes",70,9,"Yes","College or student accomodation","Casual",20,15,"omnivorous",8,8,100,">20",1,"Instagram","Yes","Yes",0,1,NA,"Right","Windows","No",6,1,"v","C: Furthest from the entrance","C: Furthest from the entrance",0
NA,"Female","China",3,3,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",NA,"Always","Yes",NA,9,"Yes","Share house","I don't currently work",NA,NA,"omnivorous",7.5,7,50,"0",7,"None","No","No",2,NA,"well done","Right","MacOS","Yes",8,6,"v","C: Furthest from the entrance","C: Furthest from the entrance",NA
20,"Male","Australia",1,2,"Distinction","cram at the last second","Semester","Third year","DATA2902",NA,"Usually","Yes",NA,5,"No","With parent(s) and/or sibling(s)","Casual",20,4,"omnivorous",6,1,NA,"<5",2,"Instagram","No","Yes",1,1,"medium-well done","Left","Windows","No",9,9,"e","C: Furthest from the entrance","C: Furthest from the entrance",3
19,"Female","Australia",1,1,"Distinction","draw up a schedule and work through it in planned stages","Semester","First year","DATA2002",10,"Always","Yes",87,8,"No","With parent(s) and/or sibling(s)","Casual",13,4,"omnivorous",9,7,30,"<5",6,"Tiktok","No","Yes",1,0,"medium-rare","Right","MacOS","Yes",4,8,"b","C: Furthest from the entrance","C: Furthest from the entrance",2
25,"Male","Australia",3,3,"Credit","draw up a schedule and work through it in planned stages","Semester","Third year","DATA2002",20,"Sometimes","Yes",77,4,"Yes","With parent(s) and/or sibling(s)","Casual",30,7,"pescatarian",3,2,110,"5-10",3,"Other","Yes","Yes",1,1,"well done","Right","Linux","Yes",5,6,NA,"C: Furthest from the entrance","A: Closest to the entrance",0
